GENDER_R,AGE_R,EARNHR,YRSQUAL,C_D05,C_Q09,D_Q03,D_Q05a2,D_Q09,J_Q02a,J_Q03b,J_Q04a
1,52,23.47,10,1,25,1,1998,1,1,2,1
2,51,,21,3,6,,,,1,1,2
2,50,,12,3,10,,,,1,1,1
2,18,5.14,10,1,1,1,2010,2,2,0,1
2,29,7.91,14,1,10,1,2009,1,1,0,1
2,54,,12,2,27,,,,1,0,1
1,27,,10,2,9,,,,1,1,1
2,40,,10,3,8,,,,1,2,1
1,20,5.49,10,1,4,1,2011,4,2,0,1
1,39,,14,1,15,1,,,1,0,1
2,34,4.62,12,1,13,1,2006,1,1,0,1
1,65,,6,3,40,,,,1,2,1
1,26,,12,3,0,,,,2,0,1
1,33,5.78,6,1,12,1,2006,1,2,0,1
2,40,5.83,10,1,20,2,2006,2,1,2,2
1,34,8.59,15,1,8,2,2009,1,1,2,1
1,63,,10,3,50,,,,1,2,1
2,50,,10,2,10,,,,1,3,1
1,48,,10,2,31,,,,2,0,1
2,18,,12,2,0,,,,2,1,1
1,37,4.62,10,1,16,1,2006,1,2,1,2
2,27,,12,3,5,,,,1,1,2
1,37,8.67,17,1,12,1,2000,1,1,0,1
1,57,,12,3,40,,,,1,3,1
1,29,,10,2,11,,,,2,0,1
1,51,,10,1,37,1,,,1,2,1
2,56,,6,3,10,,,,1,3,1
1,55,,14,1,32,1,,,1,2,1
1,23,,10,2,6,,,,1,0,2
1,42,20.23,17,1,7,2,2007,1,1,2,2
2,46,,15,2,1,,,,1,3,2
2,36,,15,2,10,,,,1,2,1
1,21,5.14,10,1,21,1,2008,4,2,0,1
1,40,15.82,14,1,18,2,1994,1,1,1,1
2,32,4.05,14,1,10,1,2006,1,1,1,1
1,37,,14,1,15,1,,,1,1,1
2,62,19.82,12,1,44,1,1968,1,1,3,1
2,56,13.21,17,1,37,2,1978,1,1,1,1
2,52,,15,1,29,1,,,1,2,1
1,21,,12,2,1,,,,2,0,1
1,39,,6,1,20,1,,,1,4,1
2,56,7.93,15,1,23,2,2004,1,1,2,1
1,46,,17,1,24,1,,,1,2,1
2,47,,17,1,21,1,,,1,2,1
2,58,3.76,15,1,19,1,2009,5,2,2,1
2,58,,10,3,4,,,,1,3,1
2,26,5.78,12,1,4,1,2010,3,2,0,1
1,59,15.41,15,1,37,2,1976,1,1,2,1
1,21,4.11,6,1,2,1,2007,2,2,0,1
1,54,5.14,10,1,27,2,1985,1,1,2,1
1,45,6.94,6,1,30,1,2001,1,1,2,1
2,24,,12,2,2,,,,1,1,1
2,36,3.93,6,1,13,3,1999,1,2,0,2
2,27,7.27,17,1,2,2,2010,4,2,0,2
1,41,,12,1,23,1,,,1,1,1
1,53,,6,3,20,,,,2,1,1
2,54,22.27,15,1,11,2,2001,1,1,3,1
1,64,,10,3,45,,,,1,3,1
2,29,4.16,10,1,15,1,2002,2,1,1,2
1,51,6.94,10,1,31,1,1987,1,1,2,1
2,60,,6,3,7,,,,1,3,1
2,27,4.54,12,1,6,1,2007,1,1,0,1
2,58,6.61,10,1,25,1,1999,1,1,2,1
1,21,6.01,11,1,4,1,2007,2,2,0,1
1,51,28.85,17,1,27,1,1984,1,1,2,1
2,45,,6,3,1,,,,1,3,1
2,59,9.91,6,1,40,2,1971,1,1,2,1
2,22,,10,3,2,,,,2,1,1
2,52,13.27,12,1,34,1,1977,1,1,2,1
1,34,15.65,17,1,7,1,2004,1,1,0,1
1,42,4.26,10,1,19,1,1995,2,1,2,1
1,21,,12,3,0,,,,2,0,1
1,36,,6,2,16,,,,1,3,1
1,58,6.94,6,1,48,1,2000,1,1,2,1
2,38,,14,2,16,,,,2,0,2
2,54,,10,2,1,,,,1,2,1
1,43,,6,1,23,1,,,1,1,1
1,59,,10,1,35,1,,,1,2,1
1,25,8.67,6,1,9,1,2010,1,1,1,1
1,22,1.73,12,1,1,2,2010,5,2,0,1
1,43,1.2,10,1,25,1,1995,1,1,1,1
1,57,,12,2,37,,,,1,1,1
1,27,12.17,15,1,8,2,2010,1,2,0,1
1,31,12.02,10,1,11,1,2008,1,1,0,1
2,53,,6,3,1,,,,2,2,1
2,28,6.78,14,1,5,1,2011,2,2,0,1
1,29,4.11,14,1,10,1,2005,2,2,0,1
1,49,6.07,10,1,34,2,1999,1,1,2,1
1,46,5.06,10,1,15,1,2009,2,2,2,2
2,31,9.83,17,1,6,1,2007,1,1,0,1
1,43,10.4,14,1,21,1,2010,1,1,2,1
2,22,,15,2,1,,,,2,0,1
2,53,,15,1,20,1,,,1,2,1
1,58,5.78,6,1,27,1,2009,1,1,6,1
2,51,4.29,6,1,10,1,2000,1,2,6,2
2,64,5.78,6,1,21,1,2008,1,2,2,1
1,33,7.51,12,1,10,1,2004,1,1,1,1
2,37,6,12,1,12,1,2011,2,1,1,2
2,52,,15,3,27,,,,1,1,1
1,64,,14,3,33,,,,1,3,1
1,50,23.12,14,1,30,2,1981,1,1,2,1
1,59,,10,2,3,,,,1,1,2
1,32,,12,3,8,,,,2,0,1
2,20,,12,3,0,,,,2,0,1
1,54,12.82,11,1,32,1,2009,2,1,4,1
1,60,,10,3,32,,,,1,2,1
1,65,,12,3,50,,,,1,2,1
2,56,,6,2,30,,,,1,2,1
2,45,8.81,12,1,21,1,2011,3,1,1,1
2,50,,6,3,2,,,,2,0,1
1,55,,6,3,28,,,,1,3,1
2,41,13.09,12,1,19,1,1988,1,1,2,1
1,25,5.01,10,1,7,1,2008,1,2,0,1
2,61,,6,3,15,,,,1,1,1
1,25,,14,3,5,,,,2,0,1
1,47,,10,2,12,,,,1,4,2
1,26,7.51,15,1,7,1,2010,1,2,0,1
2,41,,10,2,23,,,,1,0,1
2,54,9.74,15,1,27,2,1982,6,2,3,1
2,36,9.63,10,1,8,1,2003,1,1,2,1
2,32,5.78,12,1,8,1,2011,1,2,0,1
2,57,16.25,15,1,31,2,1980,1,1,1,1
1,63,,6,3,30,,,,1,4,1
2,48,7.41,6,1,10,1,2004,6,1,2,1
2,51,17.73,15,1,30,2,1981,1,1,1,1
2,19,,10,2,0,,,,2,0,2
2,49,,10,3,8,,,,2,3,2
2,32,,17,1,4,1,,,1,0,1
1,30,,10,1,11,1,,,2,0,1
2,43,8.48,15,1,19,2,1994,1,1,2,1
2,47,7.74,6,1,18,1,1993,1,1,5,1
1,33,9.83,6,1,14,1,2012,2,1,1,1
2,43,,12,1,22,1,,,1,2,1
2,40,2.06,15,1,4,1,2010,5,1,2,2
1,40,,12,2,17,,,,1,2,1
2,55,,17,1,31,1,,,1,1,1
2,63,,10,3,5,,,,1,1,2
1,27,10.82,12,1,8,1,2006,1,2,0,1
2,39,6,12,1,19,1,2011,2,1,3,2
1,59,8.67,12,1,40,1,2004,1,1,1,1
1,38,7.15,14,1,22,1,2011,1,1,2,1
1,63,,15,3,32,,,,1,0,1
1,29,15.19,15,1,9,2,2005,1,1,0,1
1,31,,6,1,10,1,,,1,2,1
1,39,,6,2,24,,,,2,0,1
2,39,,6,2,1,,,,1,3,1
1,21,,12,2,1,,,,2,0,1
2,21,,6,3,1,,,,1,1,2
1,32,,15,1,11,1,,,1,1,1
2,21,4.82,12,1,3,1,2007,1,2,0,1
2,20,4.62,12,1,1,2,2010,4,2,0,1
1,40,7.86,14,1,18,1,1996,1,1,2,1
2,20,5.77,12,1,2,1,2007,1,2,0,1
1,42,7.45,10,1,22,1,1987,1,1,1,1
2,65,,6,3,40,,,,1,0,1
1,29,5.95,10,1,6,1,2006,1,2,0,1
1,26,4.62,10,1,1,1,2009,2,2,0,2
1,41,7.19,6,1,23,1,2009,1,1,1,1
1,59,,6,1,44,1,,,1,2,1
1,31,10.57,12,1,6,2,2000,1,2,0,1
2,43,,6,3,22,,,,1,2,1
2,49,,6,3,5,,,,1,4,1
1,32,8.33,12,1,12,1,2010,2,1,1,2
1,33,,10,1,15,1,,,1,0,1
2,35,8.09,10,1,6,1,2008,2,1,1,1
2,51,14.51,12,1,34,2,1983,1,1,2,1
1,53,8.21,6,1,30,2,2000,1,1,2,1
1,54,14.45,10,1,38,1,1973,1,1,2,1
2,30,,10,2,7,,,,1,2,1
1,59,,17,3,30,,,,2,2,1
1,39,,6,3,20,,,,1,2,1
1,40,9.81,15,1,15,1,1995,1,1,1,1
2,27,,10,3,8,,,,1,1,1
1,58,,15,3,27,,,,1,1,1
2,31,,17,1,4,1,,,1,1,1
1,24,5.39,15,1,3,1,2009,1,2,0,1
2,45,8.59,12,1,21,1,1990,1,1,2,1
2,47,8.08,14,1,27,2,1985,1,2,1,1
1,39,5.14,6,1,16,2,1995,1,1,1,1
1,44,15.19,17,1,24,2,1989,1,1,2,1
1,45,,6,3,25,,,,2,0,1
2,47,6.36,10,1,31,1,2009,2,1,1,1
1,38,,14,2,19,,,,2,0,1
1,36,,12,3,6,,,,1,1,1
2,45,,6,3,5,,,,1,2,2
2,35,5.2,14,1,15,1,2001,1,1,2,1
1,57,,6,3,40,,,,2,0,1
2,28,3,10,1,4,2,2007,2,2,0,1
1,62,,12,3,46,,,,1,3,1
2,32,7.11,12,1,7,1,1998,2,1,0,1
2,59,,12,3,6,,,,2,3,2
2,31,10.08,14,1,7,1,2004,1,2,1,1
2,40,,14,1,16,1,,,1,2,1
1,36,10.4,12,1,16,1,2000,1,1,2,1
1,64,,10,3,40,,,,1,1,1
2,39,,10,3,20,,,,1,2,2
2,38,11.91,17,1,12,1,2002,1,1,2,1
1,64,,6,3,20,,,,2,0,1
2,25,,15,3,0,,,,2,0,1
1,20,6,14,1,4,1,2008,1,2,0,1
1,40,7.93,6,1,22,2,2007,1,1,2,1
1,36,,10,2,20,,,,1,1,2
2,60,5.09,10,1,13,1,2008,1,1,2,1
2,35,,14,3,12,,,,1,1,1
2,39,5.78,12,1,10,1,2006,2,1,4,2
1,20,,12,2,2,,,,2,0,2
1,39,11.82,6,1,16,1,2011,2,1,1,1
2,25,,12,1,2,1,,,1,0,2
1,42,7.51,12,1,17,1,2001,1,1,2,2
2,40,,6,3,15,,,,1,2,1
1,28,5.04,10,1,4,1,2010,2,1,0,2
2,19,12.5,10,1,0,1,2011,5,2,0,2
1,56,,12,3,30,,,,1,1,1
1,27,,10,1,8,1,,,2,0,1
1,59,,6,2,40,,,,1,4,1
1,40,9.25,17,1,11,1,2000,1,2,0,1
2,25,4.95,12,1,2,1,2008,2,2,0,1
1,56,,6,3,30,,,,1,2,2
1,41,9.63,12,1,11,1,2002,5,1,2,1
2,54,,12,3,15,,,,2,1,2
2,46,,10,2,17,,,,1,2,1
2,49,12.55,15,1,20,2,2003,1,2,2,1
2,28,7.37,17,1,5,1,2009,1,1,0,2
2,32,10.05,15,1,10,1,2008,1,1,0,1
1,47,6.47,12,1,24,1,2010,2,1,2,1
2,50,,10,2,11,,,,1,2,1
1,43,,6,3,13,,,,1,2,1
2,29,,6,3,12,,,,1,1,1
2,32,13.87,17,1,7,2,2005,2,1,0,1
2,36,7.21,17,1,9,1,2010,1,1,2,1
2,23,,10,2,2,,,,2,0,1
2,20,3.85,12,1,4,1,2009,1,2,0,1
2,40,9.83,17,1,14,1,2002,1,1,3,1
1,45,7.51,6,1,30,1,2005,1,1,2,1
2,37,,6,3,15,,,,1,2,1
2,48,,6,3,15,,,,1,1,1
2,31,5.57,15,1,3,1,2008,1,2,0,2
2,47,18.5,15,1,30,1,1989,1,1,2,1
1,24,,12,3,0,,,,2,0,1
2,57,,15,3,21,,,,1,4,1
2,56,10,10,1,2,1,2008,5,2,4,1
1,58,,6,1,25,1,,,1,3,1
1,47,18.25,17,1,21,2,1988,1,2,1,1
2,45,,14,1,25,1,,,1,2,2
1,22,,14,3,3,,,,2,0,1
2,37,,15,1,23,1,,,2,0,2
2,17,,10,3,1,,,,2,0,1
1,30,9.63,14,1,7,2,2006,1,1,1,1
1,32,8.67,6,1,15,1,2011,2,1,1,1
1,51,15.41,6,1,38,1,2004,1,1,2,1
2,49,,15,3,13,,,,1,4,1
2,58,,6,3,23,,,,1,1,1
1,57,11.33,14,1,40,1,1999,1,1,4,1
2,23,,12,3,0,,,,2,0,1
2,50,,17,3,16,,,,1,2,1
2,52,,10,3,13,,,,1,3,1
2,41,17.34,17,1,16,1,2008,1,1,3,1
2,31,6.36,10,1,10,1,2001,1,1,1,1
1,40,9.62,15,1,13,1,2010,1,1,1,1
2,44,4.62,10,1,27,1,1984,5,2,2,1
2,43,,12,1,20,1,,,1,1,1
2,55,,12,3,36,,,,1,2,1
1,21,81.85,12,1,5,1,2008,2,2,0,1
2,50,,10,3,36,,,,1,2,1
2,41,10.17,14,1,22,1,1989,1,1,2,1
1,34,6.94,6,1,14,2,2011,2,2,0,1
1,65,,12,3,39,,,,1,0,1
1,31,,17,1,15,1,,,1,0,1
2,27,3.24,15,1,2,1,2009,5,1,0,2
2,51,8.67,14,1,25,2,1990,1,1,2,1
2,46,,6,1,12,1,,,1,3,1
2,35,,10,2,40,,,,1,1,1
1,53,,10,1,29,1,,,1,3,1
2,39,,6,2,21,,,,1,0,1
2,46,7.27,12,1,28,1,1964,1,1,2,1
2,47,,17,2,12,,,,1,3,1
2,16,,6,3,0,,,,2,0,1
1,43,4.62,6,1,18,2,2011,2,2,0,1
1,37,16.25,12,1,18,2,1999,1,1,2,1
2,34,8.59,12,1,16,1,1999,1,1,2,2
1,42,11.56,14,1,22,1,1993,1,1,1,1
1,47,,10,1,20,1,,,1,1,1
1,44,,6,1,29,1,,,1,1,1
1,30,,10,2,6,,,,2,0,1
2,23,10.57,15,1,4,1,2010,1,2,0,1
2,53,,10,1,18,,,,1,2,1
1,26,5.78,6,1,9,1,2002,1,1,0,1
2,52,,10,1,30,1,,,1,3,1
1,40,4.26,6,1,20,3,2010,2,1,0,1
1,36,,6,2,16,,,,1,3,1
2,41,14.55,15,1,17,2,1994,1,1,1,1
2,48,,12,2,21,,,,2,1,2
1,63,,12,3,44,,,,1,4,1
2,36,6.39,14,1,16,1,1996,1,1,2,1
2,40,,17,1,14,1,,,1,2,1
2,51,13.99,10,1,20,1,1991,1,2,2,1
2,19,3.53,6,1,1,2,2011,4,2,0,1
2,61,,12,3,19,,,,1,2,2
2,47,6.52,17,1,15,1,1994,1,1,1,1
2,52,,10,3,30,,,,1,2,1
1,21,5.78,10,1,2,1,2011,5,2,0,1
2,47,,10,2,28,,,,2,2,2
1,45,,6,2,27,,,,1,1,1
1,42,,17,2,3,,,,2,0,1
2,60,4.13,12,1,10,1,2002,1,2,4,2
1,29,,10,2,5,,,,1,0,2
2,33,5.22,14,1,6,1,2005,1,1,1,1
2,50,,14,3,1,,,,1,2,1
1,51,11.89,6,1,39,1,1997,1,1,1,1
2,49,,15,3,4,,,,1,2,1
1,53,4.92,10,1,38,1,2008,2,1,3,1
2,24,8.92,15,1,2,1,2010,2,2,0,1
1,52,,12,1,30,1,,,1,2,1
1,46,,10,1,27,1,,,1,2,1
1,23,6.36,12,1,4,1,2011,1,2,0,1
1,29,7.71,6,1,11,1,2005,1,1,0,1
2,56,,10,3,15,,,,1,2,1
1,40,15.41,10,1,18,1,2001,1,1,2,1
1,35,8.67,6,1,19,2,2008,1,1,1,1
1,29,,12,1,10,1,,,1,0,1
1,42,15.41,17,1,16,1,2003,1,1,2,2
2,20,7.84,6,1,2,1,2009,2,2,0,1
2,52,5.78,12,1,23,1,2002,1,2,2,1
2,30,6.35,10,1,9,1,2000,1,1,0,1
2,52,,12,3,30,,,,1,2,1
2,48,5.88,10,1,3,1,2011,1,1,4,2
1,40,,10,3,25,,,,1,3,1
1,59,5.14,6,1,49,1,2011,2,1,2,1
1,42,,17,1,15,1,,,1,2,1
1,46,,6,2,20,,,,1,6,1
1,32,,12,3,3,,,,2,0,1
2,27,,10,2,5,,,,1,1,1
1,57,,12,2,28,,,,1,3,1
2,21,5.55,6,1,4,1,2007,1,2,0,1
1,36,,6,2,2,,,,2,0,1
1,28,,10,2,33,,,,2,0,1
2,54,4.76,12,1,9,1,2007,2,1,3,2
2,25,7.11,10,1,7,1,2006,1,2,0,1
2,28,10,12,1,2,1,2010,5,1,2,2
1,39,,6,3,18,,,,1,2,1
1,52,,12,1,30,1,,,1,1,1
1,43,,17,1,13,1,,,1,3,1
2,53,,6,2,37,,,,1,2,1
2,39,6.84,12,1,15,1,2009,3,1,1,2
2,45,10.7,17,1,12,2,2009,2,1,2,1
1,65,,6,3,48,,,,2,2,1
2,55,,17,1,33,1,,,1,2,2
2,46,5.78,15,1,18,1,2009,1,1,2,1
2,38,,10,2,4,,,,1,0,1
1,38,15.41,17,1,13,2,2005,1,1,2,1
1,59,,6,1,43,1,,,1,2,1
1,59,,17,3,20,,,,1,3,1
1,39,11.87,14,1,15,2,1995,1,1,2,1
2,56,,14,1,32,1,,,2,2,1
1,35,,17,1,10,1,,,1,1,1
1,54,,6,2,37,,,,1,3,1
2,27,,10,2,1,,,,1,1,1
1,40,5.77,10,1,23,1,1994,1,2,1,1
2,26,4,14,1,5,1,2006,5,1,1,2
2,32,,14,3,9,,,,1,2,1
2,42,10.92,12,1,19,2,1988,1,1,2,1
2,34,15.41,15,1,13,1,1998,1,1,1,1
1,42,12.45,12,1,21,1,2002,1,1,1,1
1,44,9.25,12,1,20,1,1991,1,2,0,1
2,58,15.38,12,1,40,1,2010,1,1,1,1
2,42,14.37,17,1,16,1,1995,1,1,2,1
1,56,,10,2,40,,,,2,0,1
1,33,,6,2,1,,,,2,0,2
2,57,,12,3,10,,,,1,3,1
2,33,7.45,10,1,4,1,2010,1,1,3,1
2,20,,10,2,0,,,,2,0,1
1,39,9.45,12,1,20,1,1995,1,1,0,2
2,42,,10,1,5,1,,,1,2,1
2,61,32.97,21,1,38,2,1988,1,1,0,1
2,34,6,10,1,5,1,2006,6,1,2,2
2,26,,17,3,1,,,,2,0,1
2,37,15.38,17,1,12,1,2003,1,1,0,1
2,39,,10,3,20,,,,1,1,1
2,63,,6,3,20,,,,1,2,1
2,64,,6,1,47,1,,,1,2,1
1,63,,6,3,44,,,,1,2,1
1,30,,6,2,3,,,,2,0,1
2,38,,14,3,5,,,,1,2,1
2,43,13.21,15,1,15,1,2000,1,1,2,1
1,52,,15,2,23,,,,1,0,1
2,43,,10,3,3,,,,1,2,1
1,31,,10,2,8,,,,1,0,1
1,28,4.62,10,1,15,1,2011,2,2,0,1
2,56,,6,3,18,,,,1,3,1
1,31,,6,2,8,,,,1,1,1
1,38,8.67,6,1,15,1,2000,1,2,0,1
2,48,,12,1,10,1,,,1,1,1
2,57,,6,3,10,,,,1,2,1
1,59,9.25,6,1,42,1,1973,1,1,2,1
2,46,,6,3,8,,,,2,2,2
1,43,,15,1,24,1,,,1,0,1
2,58,,10,3,30,,,,1,2,1
1,49,9.83,6,1,33,1,2004,1,1,2,2
1,45,,10,2,2,,,,2,3,2
1,48,13.87,14,1,30,2,1981,1,1,1,1
2,62,,10,3,7,,,,1,3,1
2,44,,6,2,28,,,,1,1,2
2,20,,14,3,0,,,,2,0,1
2,40,,14,2,15,,,,1,2,1
1,37,6.94,12,1,21,1,2003,1,1,1,1
2,46,10.4,6,1,7,1,2006,2,2,3,1
1,27,8.67,12,1,9,2,2011,1,1,1,1
1,35,6.94,12,1,10,1,2004,2,1,2,2
2,63,,6,3,24,,,,1,3,1
1,36,,10,2,13,,,,1,1,1
1,63,13.87,14,1,48,1,1988,1,1,1,1
2,63,,6,3,40,,,,1,0,1
1,58,,15,1,32,1,,,1,2,1
2,33,20.35,15,1,8,2,2005,1,2,1,1
2,36,21.34,17,1,12,1,2008,1,1,1,1
1,37,,10,1,23,1,,,1,2,1
1,43,12.17,10,1,25,2,1986,1,1,3,1
2,45,13.74,17,1,15,2,2010,1,2,0,1
1,27,6.94,12,1,5,1,2004,1,1,0,1
1,48,5.63,6,1,33,1,2008,2,1,2,1
2,25,,10,2,3,,,,2,2,2
1,53,18.75,17,1,37,2,1986,1,1,1,1
2,18,3.47,10,1,2,1,2009,4,2,0,1
1,37,,10,2,20,,,,1,0,1
1,26,,12,2,1,,,,1,0,2
1,44,12.17,12,1,23,2,1987,1,1,2,1
2,49,9.13,12,1,22,1,2003,1,1,1,1
2,25,4.62,10,1,5,1,2010,5,2,0,2
1,45,,10,2,28,,,,1,1,1
1,47,,15,1,12,1,,,1,2,1
1,28,9.83,6,1,8,1,2011,2,1,1,2
2,58,,6,3,36,,,,2,0,1
2,22,,17,3,0,,,,2,0,1
1,23,5.71,10,1,1,1,2010,5,2,0,1
2,46,7,6,1,10,1,2010,5,2,2,1
1,47,6.94,6,1,30,1,2010,1,1,1,1
1,59,,6,3,40,,,,1,6,1
2,48,,10,1,19,1,,,1,3,1
2,27,5.78,17,1,3,1,2010,1,1,0,2
1,46,,12,2,14,,,,1,1,1
1,36,10.98,12,1,17,1,1994,1,1,1,1
1,36,6.05,17,1,6,1,2008,1,1,0,1
1,48,,10,1,25,1,,,1,1,1
2,58,,10,3,3,,,,1,4,1
2,39,,17,1,16,1,,,1,1,1
1,27,8.67,12,1,6,2,2004,1,2,0,1
1,32,12.61,10,1,9,1,2009,1,2,0,1
2,40,13.85,17,1,11,1,2000,1,1,2,1
2,35,7,10,1,8,1,2008,2,2,1,1
1,33,,12,3,8,,,,1,0,1
1,55,17.18,15,1,27,2,1984,1,1,3,1
1,40,8.67,15,1,13,1,1998,1,1,2,1
1,28,,17,3,1,,,,2,0,1
2,45,13.39,14,1,16,1,1997,1,1,2,1
2,41,6.81,6,1,8,1,2006,1,2,3,1
2,59,,6,3,1,,,,1,3,1
1,46,6.25,6,1,23,1,2010,3,1,2,1
1,42,5.3,6,1,21,1,1985,1,1,0,1
1,36,4.62,15,1,10,1,2006,2,1,2,2
2,24,41.43,15,1,1,1,2003,2,2,0,1
2,22,,10,3,0,,,,1,0,1
1,37,,12,1,15,2,,,1,1,1
1,42,14.6,12,1,23,2,1988,1,1,1,1
2,49,,6,3,2,,,,1,1,1
2,25,,6,3,3,,,,1,2,1
1,46,34.68,17,1,19,1,1991,1,1,2,1
1,43,5.55,17,1,11,1,2001,1,1,2,1
2,62,,12,3,26,,,,1,3,1
2,55,,6,2,9,,,,1,2,1
1,20,,12,3,0,,,,2,0,1
1,25,5.2,14,1,4,1,2007,1,2,0,1
1,59,8.67,6,1,39,1,2000,1,1,2,1
1,52,5.2,12,1,14,1,2005,1,1,1,1
2,41,9.83,12,1,16,1,2004,1,1,1,1
2,47,,6,3,10,,,,1,2,2
2,64,,12,3,13,,,,1,0,1
2,31,6.28,17,1,8,1,2002,1,1,1,2
1,57,,14,3,35,,,,1,2,2
2,53,,10,3,12,,,,2,0,1
1,16,5,10,1,0,1,2009,5,2,0,2
1,40,,10,1,25,1,,,1,3,1
2,63,23.12,21,1,35,2,1993,1,2,2,1
2,39,4.87,10,1,14,1,1996,1,2,1,1
2,52,23.12,15,1,24,2,1991,1,1,2,1
1,20,,12,3,0,,,,2,0,1
2,27,6.17,14,1,9,1,2002,1,1,2,1
2,33,5.72,6,1,14,1,2011,3,1,2,1
1,23,,12,3,2,,,,2,0,1
2,32,2.89,10,1,7,1,2004,1,1,0,2
1,47,9.83,6,1,23,1,1997,1,2,0,1
1,40,7.02,6,1,25,1,2002,1,1,2,1
2,22,9,12,1,4,1,2005,2,2,0,2
1,62,6.17,6,1,45,1,2004,1,1,2,1
1,46,6.94,12,1,32,1,1987,1,1,0,1
2,55,,15,3,1,,,,2,0,1
2,42,,10,2,9,,,,1,3,2
2,29,,17,3,10,,,,1,1,2
2,65,,15,3,43,,,,1,3,1
1,25,,10,2,2,,,,2,0,1
1,39,9.25,10,1,21,1,1996,1,1,3,1
2,40,,10,3,7,,,,1,1,1
1,36,,6,2,5,,,,1,0,1
1,45,,12,1,23,1,,,1,2,1
2,42,11.87,14,1,19,2,1990,1,2,0,1
1,36,10.4,14,1,16,1,1995,1,1,2,1
2,32,,14,3,1,,,,1,2,2
1,58,10.4,10,1,35,1,1976,1,1,2,1
2,36,13.87,17,1,10,2,2004,2,1,0,1
2,53,,10,2,28,,,,1,2,1
1,59,,6,2,36,,,,1,3,1
2,55,3.47,6,1,25,1,1999,1,1,2,1
1,65,,12,3,40,,,,1,2,1
2,46,,6,3,10,,,,2,1,1
1,49,,14,1,28,1,,,1,2,1
2,51,8,10,1,35,1,1985,5,2,1,1
1,27,4.51,11,1,10,1,2011,2,1,1,1
1,41,6.3,10,1,23,1,2007,1,1,3,1
2,56,15.87,15,1,37,2,2004,1,2,2,1
1,24,2.92,17,1,2,1,2010,6,2,0,1
1,43,15.62,12,1,24,2,1992,1,1,3,1
2,30,14.42,17,1,8,1,2006,1,1,0,1
1,21,,6,2,2,,,,2,0,1
2,60,,6,3,31,,,,1,2,1
1,63,9.25,6,1,55,1,2001,1,1,2,1
2,55,7.5,12,1,34,2,1987,1,1,0,1
1,36,24.04,17,1,10,1,2007,1,1,1,1
1,49,,6,3,24,,,,2,0,1
2,53,8.09,14,1,25,2,2005,2,1,3,1
2,36,,15,3,7,,,,1,1,1
2,59,,6,3,6,,,,1,2,1
1,48,,17,1,5,1,,,1,2,1
2,34,4.62,17,1,3,1,2009,5,1,1,1
1,50,17.34,12,1,30,1,1992,1,1,1,1
2,62,,10,3,12,,,,1,1,1
1,58,4.62,6,1,40,3,2005,1,1,3,1
2,37,6.31,14,1,9,1,2008,1,2,0,2
2,44,5.25,6,1,12,3,2007,1,1,3,1
2,47,11.28,15,1,24,2,1986,6,1,2,1
1,46,,10,1,26,1,,,1,3,1
2,52,7.91,10,1,33,1,2002,1,1,2,1
2,24,14,15,1,5,1,2009,4,2,0,1
2,45,,14,2,9,,,,2,1,1
1,64,,6,3,38,,,,1,2,1
2,54,,10,3,0,,,,1,1,1
1,37,,14,1,18,1,,,1,2,1
1,57,,10,1,43,1,,,1,2,1
2,61,,6,3,9,,,,1,3,1
2,59,,15,3,3,,,,1,2,1
1,57,,10,3,40,,,,1,2,1
2,42,,6,1,11,1,,,1,1,2
2,52,8.96,12,1,34,1,1977,1,2,2,2
1,40,9.91,10,1,21,2,2001,6,2,0,2
2,65,,15,3,24,,,,1,3,1
1,47,,6,1,28,1,,,1,2,1
1,56,,6,1,42,1,,,1,2,1
1,34,13.01,12,1,4,1,2006,2,1,0,1
2,58,,6,1,21,1,,,1,4,1
2,36,,12,2,15,,,,1,0,2
1,37,,10,2,10,,,,1,2,1
1,46,,10,2,10,,,,2,0,1
2,44,9.25,17,1,15,1,2009,1,2,1,2
1,38,4.34,6,1,19,1,2011,5,1,2,1
2,28,,10,2,2,,,,2,2,1
2,33,,15,1,15,1,,,1,0,1
2,44,23.12,12,1,20,2,2002,1,1,1,1
1,19,,11,2,0,,,,2,0,1
1,32,,10,2,6,,,,2,0,2
1,44,6.94,12,1,25,1,2010,2,1,3,2
2,32,4.34,6,1,4,2,2010,2,1,2,1
2,59,,6,1,45,2,,,2,0,1
1,41,,10,1,20,1,,,1,1,1
1,44,,10,2,24,,,,1,2,1
2,32,26.82,14,1,16,1,2007,2,1,0,1
2,28,4.62,10,1,9,1,2003,1,2,0,1
2,47,13.4,17,1,20,2,1989,1,1,4,1
2,64,,6,1,43,1,,,1,4,1
2,50,14.42,17,1,22,1,1989,1,1,2,1
2,27,,10,3,3,,,,2,0,1
1,43,,10,2,10,,,,1,4,2
2,46,8.77,14,1,29,2,1981,1,2,1,1
2,58,,12,3,9,,,,1,1,1
1,33,,15,2,17,,,,1,0,2
1,35,8.09,10,1,16,1,2011,2,1,1,1
1,39,24.44,17,1,16,2,2004,1,2,1,1
1,35,14.45,12,1,12,1,2000,1,1,1,1
2,52,,10,3,13,,,,1,2,1
2,28,,10,3,4,,,,1,1,2
2,42,8.09,15,1,15,1,2005,1,1,2,1
1,37,17.65,14,1,16,2,1997,1,1,1,1
2,43,,15,3,6,,,,1,2,1
1,32,9.25,10,1,10,1,2003,1,1,1,1
