GENDER_R,AGE_R,EARNHR,YRSQUAL,C_D05,C_Q09,D_Q03,D_Q05a2,D_Q09,J_Q02a,J_Q03b,J_Q04a
2,62,,6,3,25,,,,1,5,1
2,52,6,10,1,15,1,2010,5,1,3,1
1,52,8.89,10,1,20,1,1991,1,1,2,1
1,43,17.5,17,1,15,2,1997,1,1,2,1
1,57,9.34,6,1,38,1,1991,1,1,1,1
2,56,16.48,17,1,34,2,1978,1,2,0,1
2,37,6.87,15,1,8,1,2005,1,2,1,1
2,35,5.78,6,1,12,1,2004,1,2,3,2
2,39,9.25,10,1,19,1,2005,1,2,2,1
2,31,,10,2,12,,,,1,1,1
2,41,7.01,14,1,17,1,1994,1,1,1,1
1,24,6.94,10,1,4,1,2007,1,2,0,1
1,19,5,6,1,1,1,2009,5,2,0,1
2,28,9.25,14,1,6,1,2007,1,2,0,1
2,48,,6,3,15,,,,1,3,2
2,62,,6,2,3,,,,1,0,1
2,45,14.55,14,1,34,2,2008,1,1,0,1
1,57,,6,3,27,,,,1,2,1
1,43,,10,2,25,,,,1,2,1
1,62,8.73,6,1,39,1,1973,1,1,2,1
2,31,,10,2,6,,,,2,0,1
1,27,5.78,12,1,8,1,2010,2,2,0,1
2,55,5.49,6,1,27,1,2001,1,2,2,1
1,44,,6,3,17,,,,1,1,1
1,47,12.72,17,1,17,3,2001,1,1,2,1
1,32,6.25,6,1,11,1,2011,2,2,0,1
1,60,16.52,15,1,39,2,1972,1,1,2,1
2,42,5.78,12,1,17,1,2009,1,2,2,2
1,19,,10,3,2,,,,2,0,1
2,19,4,12,1,1,1,2010,2,2,0,1
2,32,,10,2,8,,,,1,0,1
1,26,,17,2,2,,,,2,0,1
2,46,,17,1,17,1,,,2,3,2
1,31,10.98,12,1,11,1,1999,1,2,0,1
1,41,,6,1,23,1,,,1,2,1
2,32,6,10,1,10,1,2011,2,1,2,1
2,61,16.52,15,1,41,2,1971,1,1,2,1
1,58,,10,1,40,1,,,1,2,1
1,37,,15,2,12,,,,1,2,1
2,38,,10,3,1,,,,1,1,2
1,21,,12,3,2,,,,2,0,1
1,19,4.62,10,1,0,1,2010,2,2,0,1
1,40,7.23,6,1,24,1,1998,1,1,1,1
1,44,9.37,10,1,25,2,1986,1,1,2,1
1,34,,15,1,10,1,,,1,0,1
2,52,8.59,10,1,7,3,2008,2,1,2,1
2,35,6.07,12,1,10,1,2007,1,1,2,2
1,30,5.78,10,1,12,2,2011,2,2,0,1
2,30,,17,3,7,,,,1,3,2
2,27,,12,3,5,,,,1,0,1
1,34,11.54,17,1,9,1,2007,1,1,1,1
1,31,8.14,15,1,6,1,2004,1,1,1,1
2,49,8.67,14,1,25,1,2005,1,2,0,1
2,62,,6,3,41,,,,1,2,1
1,40,,10,1,24,1,,,1,0,1
2,63,98.27,12,1,35,1,1972,1,2,3,1
1,35,7.71,14,1,15,1,2008,1,1,1,1
1,56,,12,3,20,,,,1,1,1
2,47,,10,3,16,,,,1,2,1
1,30,,10,2,12,,,,2,0,2
1,40,,12,1,18,1,,,1,3,1
2,35,5.78,17,1,4,1,2009,1,1,0,1
2,21,,14,3,0,,,,2,0,1
2,58,12.78,17,1,35,2,1997,1,1,3,1
1,28,7.51,12,1,5,1,2008,1,1,0,1
2,23,,17,2,1,,,,2,0,1
2,51,4.74,10,1,13,2,2007,1,1,2,1
2,53,,10,3,13,,,,1,2,1
2,46,,14,1,10,1,,,2,1,2
1,26,12.82,15,1,6,1,2009,2,2,0,1
1,34,6.92,12,1,16,1,2002,1,1,1,1
2,55,5.95,10,1,16,1,1996,1,1,2,1
1,33,,10,2,4,,,,1,0,2
1,22,,15,3,1,,,,2,0,1
1,29,13.01,12,1,9,1,2000,3,2,0,1
2,32,4,6,1,4,1,2003,5,1,0,2
1,64,,6,3,55,,,,1,2,1
2,28,,10,3,8,,,,2,1,2
1,37,4.62,12,1,10,1,2007,1,1,3,2
2,42,,10,3,19,,,,1,3,1
1,59,,6,2,34,,,,2,4,1
1,32,5.7,10,1,13,1,2002,1,1,1,1
2,59,10,6,1,35,1,2008,5,2,2,1
1,46,10,6,1,30,1,2009,2,1,2,1
2,42,11.87,17,1,14,2,1998,6,1,0,1
1,30,7.4,10,1,14,1,2005,2,1,0,1
2,43,14.45,17,1,19,1,1992,1,2,0,1
1,28,10.1,14,1,11,1,2008,1,1,1,1
2,53,,6,3,40,,,,1,2,1
1,29,10.4,6,1,13,1,1998,1,2,0,1
1,53,,12,1,27,1,,,1,1,1
2,27,5,10,1,6,1,2011,5,2,0,2
2,28,,17,3,1,,,,2,0,1
1,18,,6,2,1,,,,2,0,2
2,56,,10,1,25,1,,,1,2,1
2,50,10.57,15,1,21,2,1991,1,1,2,1
2,56,,14,1,37,1,,,1,3,1
2,29,,10,1,8,1,,,2,0,1
2,22,9.02,15,1,1,2,2011,2,2,0,1
1,61,,10,3,35,,,,1,4,1
2,63,6.87,12,1,40,2,1985,1,1,1,1
2,27,2.89,14,1,5,1,2008,2,2,2,2
1,55,5.09,10,1,41,1,1970,1,1,2,1
2,37,,10,2,3,,,,1,2,1
2,45,6.36,10,1,30,1,1985,1,1,2,1
1,32,6.94,12,1,5,2,2010,3,2,0,1
2,39,2.53,6,1,25,1,2007,1,1,6,1
2,34,4.62,12,1,8,1,2005,1,1,1,2
1,40,,14,1,19,1,,,1,2,1
1,32,7.71,6,1,13,1,2007,2,1,1,1
2,23,4.87,10,1,2,1,2009,1,2,0,2
1,55,14.17,12,1,34,2,1977,1,1,2,1
1,64,,10,1,50,2,,,1,2,1
1,30,,12,2,7,,,,1,0,1
1,45,,6,3,5,,,,1,3,1
2,40,,6,2,12,,,,1,2,2
1,28,,6,3,8,,,,2,0,1
2,44,6.28,12,1,19,1,1986,1,1,2,1
1,54,,6,3,24,,,,1,4,1
2,37,7.71,6,1,22,1,1999,6,1,3,1
2,36,9.08,14,1,15,1,1996,1,1,1,1
1,36,,15,1,11,1,,,1,0,1
2,26,,12,2,9,,,,2,0,1
1,49,,6,2,2,,,,2,5,1
1,20,,10,2,0,,,,2,0,1
1,41,,6,2,20,,,,1,2,2
1,44,,12,2,15,,,,1,1,2
1,65,,6,3,30,,,,1,4,1
1,42,10.28,10,1,24,1,1987,1,1,2,1
2,56,,6,3,3,,,,2,2,1
1,35,8.09,15,1,8,1,2002,1,1,2,1
1,32,7.8,10,1,17,1,2003,1,1,1,1
2,40,12.02,14,1,20,2,2003,1,1,2,1
1,54,,17,1,32,2,,,1,1,1
1,52,5.49,10,1,22,1,2003,1,2,0,2
1,63,,12,3,46,,,,1,1,1
2,27,,6,3,1,,,,1,3,1
1,16,5.71,6,1,0,1,2011,5,2,0,1
2,61,,12,3,38,,,,2,2,1
2,52,,6,3,38,,,,2,1,1
1,44,13.87,14,1,23,2,1988,1,1,3,1
1,36,,12,3,17,,,,1,2,2
1,26,10.4,6,1,11,1,2003,1,1,2,2
1,30,,12,1,11,1,,,1,1,1
2,38,,14,2,10,,,,1,1,2
2,20,,10,2,0,,,,2,0,2
1,41,9.25,12,1,22,1,1990,1,1,0,1
2,57,,6,3,36,,,,1,2,1
1,19,,14,3,1,,,,2,0,1
2,46,6.36,14,1,19,1,2010,2,2,1,1
2,19,7.71,6,1,1,1,2010,2,1,1,2
1,36,,6,2,20,,,,1,3,2
2,40,21.27,15,1,15,2,1996,1,1,2,1
1,46,8.96,6,1,29,1,1997,1,1,2,1
2,25,,17,2,0,,,,2,0,1
1,43,11.06,6,1,21,1,2007,1,1,2,1
1,22,,10,3,2,,,,2,0,1
1,47,12.02,14,1,26,1,1989,1,1,2,1
2,49,,6,3,1,,,,1,2,1
2,54,,10,3,9,,,,1,1,1
1,24,,6,2,2,,,,2,0,1
2,30,,14,2,6,,,,2,1,2
1,45,,15,1,20,1,,,1,2,1
1,55,7.58,10,1,34,1,2011,2,1,3,1
1,34,,12,3,18,,,,1,1,2
1,19,,10,2,1,,,,2,0,1
2,63,,12,3,48,,,,2,0,1
